Product Name,Total_Sales,Total_Profit,Quantity_Sold
Cubify CubeX 3D Printer Double Head Print,9323.969000000001,-6239.9792,7
Cubify CubeX 3D Printer Triple Head Print,3009.98,-3839.9904,4
Lexmark MX611dhe Monochrome Laser Printer,5676.967000000001,-2719.984,7
Bush Advantage Collection Racetrack Conference Table,4334.1,-2019.2395999999999,18
Ibico EPK-21 Electric Binding System,6437.965999999999,-1285.1932,8
Martin Yale Chadless Opener Electric Letter Opener,12268.902,-1232.5588,16
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1052.5,-986.5625,13
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,3869.9,-964.1940000000001,17
Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,-938.28,6
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,692.995,-935.9595,7
