Product Name,Total_Sales,Total_Profit,Quantity_Sold
"3D Systems Cube Printer, 2nd Generation, Magenta",14334.89,3717.9714000000004,11
Canon imageCLASS 2200 Advanced Copier,14076.824,25199.928,20
Hewlett Packard LaserJet 3310 Copier,13837.732,6407.8932,31
GBC DocuBind TL300 Electric Binding System,12890.258,2753.7593,21
GBC DocuBind P400 Electric Binding System,12577.108,762.1543999999994,16
Samsung Galaxy Mega 6.3,12370.707999999999,1696.7595999999999,34
Martin Yale Chadless Opener Electric Letter Opener,12268.902,-1232.5588,16
HON 5400 Series Task Chairs for Big and Tall,11887.562,70.09800000000007,21
Global Troy Executive Leather Low-Back Tilter,10217.894,776.519,25
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,9756.524000000001,-508.3960000000002,16
